Date,Address,lat,lon,Killed,Injured,Content
2014-12-29,"Poydras and Bolivar, New Orleans, Louisiana",29.9540284,-90.0841582,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Poydras and Bolivar, New Orleans, Louisiana"
2014-12-27,"8800 block of South Figueroa Street, Los Angeles, California",33.9573722,-118.2827122,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>8800 block of South Figueroa Street, Los Angeles, California"
2014-12-27,"4000 block of May Street, Sacramento, California",38.6404288,-121.4432744,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>4000 block of May Street, Sacramento, California"
2014-12-26,"2500 block of Summit Avenue, East St. Louis, Illinois",38.6196182,-90.1254163,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>2500 block of Summit Avenue, East St. Louis, Illinois"
2014-12-24,"18th and Pine, Saint Louis, Missouri",38.6304652,-90.2061169,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>18th and Pine, Saint Louis, Missouri"
2014-12-23,"260 Oxford Drive, Winchester, Kentucky",38.0035784,-84.2094759,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>260 Oxford Drive, Winchester, Kentucky"
2014-12-22,"Charlevoix and Philip, Detroit, Michigan",42.3735168,-82.9764241,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>Charlevoix and Philip, Detroit, Michigan"
2014-12-22,"191 Lake Road, Webster, New York",43.236828,-77.5255331,4,2,"<b>Date: </b>NA<br/><b>Killed: </b>4<br/><b>Injured: </b>2<br/><b>Location: </b>191 Lake Road, Webster, New York"
2014-12-22,"5700 block of South Green Street, Chicago, Illinois",41.790482,-87.646624,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>5700 block of South Green Street, Chicago, Illinois"
2014-12-21,"4034 N Washington Blvd, Sarasota, Florida",27.3688478,-82.5299717,2,2,"<b>Date: </b>NA<br/><b>Killed: </b>2<br/><b>Injured: </b>2<br/><b>Location: </b>4034 N Washington Blvd, Sarasota, Florida"
2014-12-21,"Central Avenue, Waynesboro, Mississippi",31.6782332,-88.6584091,1,4,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>4<br/><b>Location: </b>Central Avenue, Waynesboro, Mississippi"
2014-12-21,"600 block of Escanba, Calumet City, Illinois",41.6180813,-87.5531244,1,8,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>8<br/><b>Location: </b>600 block of Escanba, Calumet City, Illinois"
2014-12-20,"3200 block of Montrose Avenue, Rockford, Illinois",42.2938571,-89.1071791,4,0,"<b>Date: </b>NA<br/><b>Killed: </b>4<br/><b>Injured: </b>0<br/><b>Location: </b>3200 block of Montrose Avenue, Rockford, Illinois"
2014-12-16,"Anna Street, Elizabeth, New Jersey",40.6684438,-74.2032302,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Anna Street, Elizabeth, New Jersey"
2014-12-15,"100 block of West 5th St, Lansdale, Pennsylvania",40.2459462,-75.2820319,7,0,"<b>Date: </b>NA<br/><b>Killed: </b>7<br/><b>Injured: </b>0<br/><b>Location: </b>100 block of West 5th St, Lansdale, Pennsylvania"
2014-12-14,"1311 Northwest 2nd Avenue, Miami, Florida",25.7871407,-80.1984688,1,4,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>4<br/><b>Location: </b>1311 Northwest 2nd Avenue, Miami, Florida"
2014-12-13,"810 E. Skagway Ave., Tampa, Florida",28.0324123,-82.4524689,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>810 E. Skagway Ave., Tampa, Florida"
2014-12-12,"717 North Killingsworth Court, Portland, Oregon",45.5620669,-122.6743133,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>717 North Killingsworth Court, Portland, Oregon"
2014-12-07,"16000 block of Roosevelt Road, South Bend, Indiana",41.59062,-86.181481,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>16000 block of Roosevelt Road, South Bend, Indiana"
2014-12-02,"6000 block of Virginia Avenue, Saint Louis, Missouri",38.5616394,-90.2492351,1,5,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>5<br/><b>Location: </b>6000 block of Virginia Avenue, Saint Louis, Missouri"
2014-12-02,"6128 Jefferson Ave , Newport News, Virginia",37.0231409,-76.4462883,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>6128 Jefferson Ave , Newport News, Virginia"
2014-11-30,"375 Remsen Avenue, Brooklyn, New York",40.6564708,-73.9236281,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>375 Remsen Avenue, Brooklyn, New York"
2014-11-30,"2412 East 13th Street , Chattanooga, Tennessee",35.0246664,-85.2711357,0,5,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>2412 East 13th Street , Chattanooga, Tennessee"
2014-11-29,"348 S Orange Ave, Newark, New Jersey",40.7399153,-74.1999812,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>348 S Orange Ave, Newark, New Jersey"
2014-11-29,"1600 block of Richmond Avenue, Atlanta, Georgia",33.7100019,-84.3798407,3,2,"<b>Date: </b>NA<br/><b>Killed: </b>3<br/><b>Injured: </b>2<br/><b>Location: </b>1600 block of Richmond Avenue, Atlanta, Georgia"
2014-11-28,"1849 East Brooks Road , Memphis, Tennessee",35.0604534,-90.0021493,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>1849 East Brooks Road , Memphis, Tennessee"
2014-11-27,"Pvt Rd 934, Georgetown, Texas",30.6777088,-97.592544,2,3,"<b>Date: </b>NA<br/><b>Killed: </b>2<br/><b>Injured: </b>3<br/><b>Location: </b>Pvt Rd 934, Georgetown, Texas"
2014-11-26,"Mission and 13th streets, San Francisco, California",37.7699536,-122.4199623,0,6,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>Mission and 13th streets, San Francisco, California"
2014-11-23,"Parksley Road, Parksley, Virginia",37.7796692,-75.647858,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Parksley Road, Parksley, Virginia"
2014-11-23,"Federal Boulevard and 16th Avenue, Denver, Colorado",39.7427422,-105.0252326,1,4,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>4<br/><b>Location: </b>Federal Boulevard and 16th Avenue, Denver, Colorado"
2014-11-22,"1443 E 92nd St, Cleveland, Ohio",41.51689,-81.6231379,4,1,"<b>Date: </b>NA<br/><b>Killed: </b>4<br/><b>Injured: </b>1<br/><b>Location: </b>1443 E 92nd St, Cleveland, Ohio"
2014-11-22,"Fourth Avenue, Sisseton, South Dakota",45.6637619,-97.0457522,4,1,"<b>Date: </b>NA<br/><b>Killed: </b>4<br/><b>Injured: </b>1<br/><b>Location: </b>Fourth Avenue, Sisseton, South Dakota"
2014-11-22,"Clifton Avenue and Rice Street, Springfield, Ohio",39.9095886,-83.8077328,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>Clifton Avenue and Rice Street, Springfield, Ohio"
2014-11-21,"600 block of Miller Avenue, Pittsburgh, Pennsylvania",40.4406248,-79.9958864,0,6,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>600 block of Miller Avenue, Pittsburgh, Pennsylvania"
2014-11-19,"700 block of North St. Louis Avenue, Chicago, Illinois",41.8936456,-87.7138038,1,3,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>700 block of North St. Louis Avenue, Chicago, Illinois"
2014-11-18,"Englestad Street, North Las Vegas, Nevada",36.2100351,-115.1473473,0,4,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>Englestad Street, North Las Vegas, Nevada"
2014-11-16,"1891 E Market St, Akron, Ohio",41.0619729,-81.4601481,1,4,"<b>Date: </b>NA<br/><b>Killed: </b>1<br/><b>Injured: </b>4<br/><b>Location: </b>1891 E Market St, Akron, Ohio"
2014-11-16,"115 S. Durango, El Paso, Texas",31.7570762,-106.4935119,0,6,"<b>Date: </b>NA<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>115 S. Durango, El Paso, Texas"
2014-11-15,"2555 N. Glenstone, Springfield, Missouri",37.2436912,-93.2623309,4,0,"<b>Date: </b>NA<br/><b>Killed: </b>4<br/><b>Injured: </b>0<br/><b>Location: </b>2555 N. Glenstone, Springfield, Missouri"
